FL21	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Λήψη μέτρων τάξης και ασφάλειας περιμετρικά των χώρων επιχειρήσεων του Π.Σ., καθώς και όπου αλλού απαιτείται η επιπρόσθετη λήψη μέτρων ασφάλειας για την διευκόλυνση του έργου των σωστικών συνεργείων και των συνεργείων αποκατάστασης, καθώς και για τη προστασία της ζωής και της περιουσίας των πολιτών	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
FL22	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Διακομιδή τραυματιών	Αντιμετώπιση	ΕΚΑΒ	-	Υγειονομικές Μονάδες, Π.Σ, ΕΛ.ΑΣ
FL23	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Συνδρομή στο έργο της μεταφοράς τραυματιών όταν οι μονάδες του ΕΚΑΒ δεν επαρκούν	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
FL24	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Συγκρότηση κατάλληλων συνεργείων για τη άμεση αποκατάσταση της λειτουργίας υποδομών που έχει επηρεαστεί η ομαλή λειτουργία τους ή που υπέστησαν ζημιές από τις πλημμύρες στην περιοχή ευθύνης	Αντιμετώπιση	Δήμοι, Περιφέρειες	-	-
FL25	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Διασφάλιση της λειτουργίας των Υπηρεσιών	Αντιμετώπιση	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	-	-
FL26	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Έλεγχος υποδομών και τεχνικών έργων αρμοδιότητάς τους για τη διαπίστωση ζημιών που προκλήθηκαν από πλημμύρες ή άλλα επαγόμενα των πλημμυρών φαινόμενα (κατολισθήσεις, κλπ.) και αποκατάσταση της λειτουργίας τους	Αντιμετώπιση	Δήμοι, Περιφέρειες	-	-
FL27	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Καθαρισμός εντός των πλημμυρισμένων περιοχών των εσχαρών των φρεατίων υδροσυλλογής στις οδούς αρμοδιότητάς τους και καθαρισμός λοιπών αντιπλημμυρικών έργων αρμοδιότητάς τους από φερτά υλικά	Αντιμετώπιση	Δήμοι, Περιφέρειες	-	-
FL28	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Αποκατάσταση βατότητας των αποκλεισμένων οδών αρμοδιότητάς τους με την απομάκρυνση φερτών υλικών και πλημμυρικών υδάτων από το οδόστρωμα και αποκατάσταση της οδικής κυκλοφορίας	Αντιμετώπιση	Δήμοι, Περιφέρειες	-	-
FL29	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Υγειονομικός έλεγχος λειτουργίας των συστημάτων ύδρευσης στις πληγείσες περιοχές, για τη διασφάλιση της ποιότητας του πόσιμου ύδατος	Αντιμετώπιση	ΟΤΑ και φορείς ύδρευσης	-	Περιφέρειες-Δ/νση Δημόσιας Υγείας της οικείας Περιφερειακής Ενότητας
FL30	Πλημμυρικά φαινόμενα	Κήρυξη περιοχών σε κατάσταση έκτακτης ανάγκης	Εισήγηση για τη κήρυξη μιας περιοχής σε κατάσταση έκτακτης ανάγκης	Αντιμετώπιση	-	-	-
FL31	Πλημμυρικά φαινόμενα	Κήρυξη περιοχών σε κατάσταση έκτακτης ανάγκης	Σε περιπτώσεις καταστροφών μικρής έκτασης, ο Γενικός Γραμματέας Πολιτικής Προστασίας εξουσιοδοτεί τον Γενικό Γραμματέα Α/Δ ή τον Οικείο Περιφερειάρχη σχετικά με την κήρυξη	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας, Αποκεντρωμένες Διοικήσεις, Περιφέρειες,	Γενικός Γραμματέας Πολιτικής Προστασίας, Γενικός Γραμματέας Α/Δ, Περιφερειάρχης	-
FL32	Πλημμυρικά φαινόμενα	Κήρυξη περιοχών σε κατάσταση έκτακτης ανάγκης	Σε περιπτώσεις που η καταστροφή εκτείνεται σε περισσότερες από τρείς Περιφέρειες της χώρας, εισήγηση του Γ.Γ.Π.Π στον αρμόδιο Αναπληρωτή Υπουργό Εσωτερικών για τον χαρακτηρισμό της καταστροφής ως γενικής και την έκδοση της αντίστοιχης απόφασης για την κήρυξη κατάστασης έκτακτης ανάγκης	Αντιμετώπιση	Υπουργείο Εσωτερικών, Γενική Γραμματεία Πολιτικής Προστασίας	Αναπληρωτής Υπουργός Εσωτερικών, Γενικός Γραμματέας Πολιτικής Προστασίας, Περιφερειάρχης	-
FL33	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Υποστήριξη του έργου των λοιπών επιχειρησιακά εμπλεκομένων φορέων	Αντιμετώπιση	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	-	-
FL34	Πλημμυρικά φαινόμενα	Εμπλοκή φορέων, αντιμετώπιση του φαινομένου και τη διαχείριση των συνεπειών	Έλεγχοι σε κρίσιμες υποδομές όπως φράγματα, δίκτυο φυσικού αερίου, δίκτυο ηλεκτροδότησης	Αντιμετώπιση	Φορείς λειτουργίας και συντήρησης δικτύων κοινής ωφέλειας και υποδομών	-	-
FL35	Πλημμυρικά φαινόμενα	Οργανωμένη απομάκρυνση πολιτών	Λήψη της απόφασης για την οργανωμένη απομάκρυνση των πολιτών σε τοπικό επίπεδο	Αντιμετώπιση	Δήμοι	Δήμαρχοι	-
FL36	Πλημμυρικά φαινόμενα	Οργανωμένη απομάκρυνση πολιτών	Λήψη της απόφασης για την οργανωμένη απομάκρυνση των πολιτών όταν η καταστροφή επηρεάζει δύο ή περισσότερους δήμους	Αντιμετώπιση	Περιφέρειες	Περιφερειάρχες	-
FL37	Πλημμυρικά φαινόμενα	Οργανωμένη απομάκρυνση πολιτών	Λήψη της απόφασης για την οργανωμένη απομάκρυνση των πολιτών όταν οι καταστροφή σε περιπτώσεις περιφερειακής καταστροφής μικρής έντασης, ή σε τοπικές καταστροφές μικρής έντασης σε περιπτώσεις που ορίζονται από το Ν.4249/2014, άρθρο 108 παρ 5.6Ι	Αντιμετώπιση	Γενικός Γραμματέας Π.Π. ή Αποκεντρωμένες Διοικήσεις	Γενικός Γραμματεάς Π.Π.ή Γενικός Γραμματέας Α/Δ	Δήμαρχοι, Περιφερειάρχες
FL38	Πλημμυρικά φαινόμενα	Ενέργεις αποτίμησης και απολογισμού	Τήρησης ειδικού φακέλου για τις γενικές, περιφερειακές ή τοπικές μεγάλης έντασης καταστροφές λόγω πλημμυρών	Αποκατάσταση	Γενική Γραμματεία Πολιτικής Προστασίας	-	-
FL39	Πλημμυρικά φαινόμενα	Ενέργεις αποτίμησης και απολογισμού	Συγκέντρωση των καταγραφών των επιπτώσεων από τους διάφορους φορείς σε περιπτωσεις περιφερειακών ή τοπικών καταστροφών μεγάλης έντασης λόγω πλημμυρών	Αποκατάσταση	Αποκεντρωμένες Διοικήσεις	Δ/νσεις Πολιτικής Προστασίας	-
E1	Σεισμοί	Ενέργειες σχεδιασμού	Επεξεργασία και σχεδιασμός της αντισεισμικής πολιτικής της χώρας	Πρόληψη	ΟΑΣΠ	-	-
E2	Σεισμοί	Ενέργειες σχεδιασμού	Συντονισμός των ενεργειών δημοσίου και ιδιωτικού δυναμικού για την εφαρμογή της αντισεισμικής πολιτικής	Πρόληψη	ΟΑΣΠ	-	-
E3	Σεισμοί	Ενέργειες σχεδιασμού	Σχεδιασμός, εκπόνηση, συντονισμός και παρακολούθηση του έργου της εκπαίδευσης και ενημέρωσης του πληθυσμού καθώς και στελεχών φορέων του δημοσίου	Πρόληψη	ΟΑΣΠ	-	-
E4	Σεισμοί	Ενημέρωση και πληροφόρηση του κοινού	Ενημέρωση του κοινού για τη λήψη μέτρων αυτοπροστασίας από κινδύνους που προέρχονται από σεισμούς	Πρόληψη	ΟΑΣΠ	-	Γενική Γραμματεία Πολιτικής Προστασίας
E5	Σεισμοί	Εκπαίδευση και ενημέρωση του πληθυσμού και στελεχών φορέων του δημοσίου	Ενημέρωση του κοινού σε τοπικό επίπεδο	Πρόληψη	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Δ/νσεις Πολιτικής Προστασίας Α/Δ, Περιφερειών, Γραφεία Πολιτικής Προστασίας Δήμων	-
E6	Σεισμοί	Εκπαίδευση και ενημέρωση του πληθυσμού και στελεχών φορέων του δημοσίου	Πραγματοποίηση άσκησης εγκατάλειψης σχολικών κτιρίων	Πρόληψη	ΥΠΕΠΘ	-	ΟΑΣΠ
E7	Σεισμοί	Δράσεις πρόληψης αποκεντρωμένων οργάνων πολιτικής προστασίας	Σύσταση επιτροπών πρωτοβάθμιου προσεισμικού ελέγχου κτιρίων αρμοδιότητας των φορέων	Πρόληψη	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Δ/νσεις Πολιτικής Προστασίας Α/Δ, Περιφερειών, Γραφεία Δήμων	ΟΑΣΠ
E8	Σεισμοί	Δράσεις πρόληψης αποκεντρωμένων οργάνων πολιτικής προστασίας	Λήψη μέτρων προστασίας, όπου αυτό απαιτείται ανάλογα με τα αποτελέσματα του προσεισμικού ελέγχου	Πρόληψη	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	-	-
E9	Σεισμοί	Δράσεις ετοιμότητας αποκεντρωμένων οργάνων πολιτικής προστασίας	Καθορισμός κτιρίου του φορέα από το οποίο ο υπεύθυνος του φορέα θα συντονίζει τις δυνάμεις και τα μέσα σε περίπτωση έκτακτης ανάγκης	Ετοιμότητα	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Δ/νσεις Πολιτικής Προστασίας Α/Δ, Περιφερειών, Γραφεία Δήμων	-
E10	Σεισμοί	Δράσεις ετοιμότητας αποκεντρωμένων οργάνων πολιτικής προστασίας	Κατάρτιση και τήρηση επικαιροποιημένου καταλόγου των επιχειρησιακά έτοιμων μέσων και υπευθύνων χειριστών τους που διαθέτουν οι Yπηρεσίες	Ετοιμότητα	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Δ/νσεις Πολιτικής Προστασίας Α/Δ, Περιφερειών, Γραφεία Δήμων	-
E11	Σεισμοί	Δράσεις ετοιμότητας αποκεντρωμένων οργάνων πολιτικής προστασίας	Kατάρτιση και τήρηση επικαιροποιημένου καταλόγου (μητρώου) υπαλλήλων που διαθέτουν τα κατάλληλα επαγγελματικά προσόντα, προκειμένου να συνδράμουν το έργο της Υπηρεσίας Αποκατάστασης Σεισμοπλήκτων (Υ.Α.Σ.)	Ετοιμότητα	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Δ/νσεις Πολιτικής Προστασίας Α/Δ, Περιφερειών, Γραφεία Δήμων	-
E12	Σεισμοί	Δράσεις ετοιμότητας αποκεντρωμένων οργάνων πολιτικής προστασίας	Σύνταξη μνημονίου ενεργειών για την αντιμετώπιση εκτάκτων αναγκών και διαχείριση των συνεπειών από την εκδήλωση σεισμικών φαινομένων	Ετοιμότητα	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Δ/νσεις Πολιτικής Προστασίας Α/Δ, Περιφερειών, Γραφεία Δήμων	-
E13	Σεισμοί	Δράσεις ετοιμότητας αποκεντρωμένων οργάνων πολιτικής προστασίας	Τήρηση, έλεγχος και συντήρηση αποθηκευμένων υλικών και μέσων για την προσωρινή στέγαση πληγέντων από καταστροφές	Ετοιμότητα	Περιφέρειες	Αρμόδια Δ/νση των Περιφερειών	Αρμόδιες υπηρεσίες του Υ.Υ.Κ.Α. (Δ/νση Κοινωνικής Αντίληψης και Αλληλεγγύης, Ε.Κ.ΕΠ.Υ
E14	Σεισμοί	Δράσεις ετοιμότητας αποκεντρωμένων οργάνων πολιτικής προστασίας	Προσδιορισμός ή επανέλεγχος των χώρων ικανών για την υποδοχή και διαβίωση των πληγέντων μετά από σεισμό (χώροι καταυλισμών).	Ετοιμότητα	Περιφέρειες	Δ/νσεις Πολιτικής Προστασίας, Δ/νσεις Τεχνικών Έργων	Δήμοι
E15	Σεισμοί	Σύγκληση των Συντονιστικών Οργάνων Πολιτικής Προστασίας (ΣΟΠΠ) των Περιφερειακών Ενοτήτων	Οριστικοποίηση των θέσεων των χώρων καταυλισμού	Ετοιμότητα	Περιφέρειες	Δ/νσεις Πολιτικής Προστασίας	Όλοι οι εμπλεκόμενοι φορείς
E16	Σεισμοί	Σύγκληση των Συντονιστικών Οργάνων Πολιτικής Προστασίας (ΣΟΠΠ) των Περιφερειακών Ενοτήτων	Συζήτηση ζητημάτων τα οποία αφορούν τη συνεργασία των φορέων για την άμεση απόκριση και την αντιμετώπιση εκτάκτων αναγκών και διαχείριση των συνεπειών λόγω σεισμικών φαινομένων	Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	-
E17	Σεισμοί	Σύγκληση των Συντονιστικών Οργάνων Πολιτικής Προστασίας (ΣΟΠΠ) των Περιφερειακών Ενοτήτων	Κοινοποίηση των πρακτικών της συνεδρίασης σε Α/Δ και Δήμους	Ετοιμότητα	Περιφέρειες	Δ/νση Πολιτικής Προστασίας των Περιφερειών	-
E18	Σεισμοί	Σύγκληση των Συντονιστικών Τοπικών Οργάνων (ΣΤΟ) των Δήμων	Συντονισμός των φορέων που εμπλέκονται σε επίπεδο Δήμου σε δράσεις πολιτικής προστασίας για την ετοιμότητα αντιμετώπισης εκτάκτων αναγκών και διαχείρισης συνεπειών από την εκδήλωση σεισμικών φαινομένων	Ετοιμότητα	Δήμοι	Γραφείο Πολιτικής Προστασίας των Δήμων	-
E19	Σεισμοί	Σύγκληση των Συντονιστικών Τοπικών Οργάνων (ΣΤΟ) των Δήμων	Κοινοποίηση των πρακτικών της συνεδρίασης σε Περιφέρεια και Α/Δ	Ετοιμότητα	Δήμοι	Γραφείο Πολιτικής Προστασίας των Δήμων	-
E20	Σεισμοί	Αρχική Αναγγελία / Ειδοποίηση Σεισμού	Συλλογή πληροφοριών μετά την εκδήλωση του φαινομένου, σχετικών με την επικρατούσα κατάσταση και τις επηρεαζόμενες περιοχές (περιοχές όπου έγινε αισθητή η σεισμική δόνηση	Αντιμετώπιση	ΕΛ.ΑΣ	-	Πυροσβεστικό Σώμα
E21	Σεισμοί	Αρχική Αναγγελία / Ειδοποίηση Σεισμού	Ενημέρωση της ΓΓΠΠ και των αποκεντρωμένων οργάνων πολιτικής προστασίας	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
E22	Σεισμοί	Αρχική Αναγγελία / Ειδοποίηση Σεισμού	Εφαρμογή των μνημονίων ενεργειών και επικοινωνία με τους επιχειρησιακά εμπλεκόμενους φορείς (ΕΛ.ΑΣ, ΠΣ) με στόχο την συλλογή πληροφοριών	Αντιμετώπιση	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Δ/νσεις Πολιτικής Προστασίας Α/Δ, Περιφερειών, Γραφεία Δήμων	-
E23	Σεισμοί	Ανακοίνωση σεισμού και πρώτη εκτίμηση επιπτώσεων	Επίσημη ανακοίνωση του σεισμού (ώρα εκδήλωσης, επίκεντρο, μέγεθος, χαρακτηρισμός) και ενημέρωση της ΓΓΠΠ και του ΟΑΣΠ	Αντιμετώπιση	Γεωδυναμικό Ινστιτούτο	-	-
E24	Σεισμοί	Ανακοίνωση σεισμού και πρώτη εκτίμηση επιπτώσεων	Συλλογή πληροφοριών σχετικά με τις επιπτώσεις του σεισμού	Αντιμετώπιση	ΕΛ.ΑΣ	-	Πυροσβεστικό Σώμα
E25	Σεισμοί	Ανακοίνωση σεισμού και πρώτη εκτίμηση επιπτώσεων	Επικοινωνία με τις αστυνομικές αρχές για την πρώτη εκτίμηση της κατάστασης	Αντιμετώπιση	ΟΑΣΠ, Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Δ/νσεις Πολιτικής Προστασίας Α/Δ, Περιφερειών, Γραφεία Δήμων	-
E26	Σεισμοί	Ανακοίνωση σεισμού και πρώτη εκτίμηση επιπτώσεων	Πραγματοποίηση πτήσεων επάνω από τις πληγείσες περιοχές όταν αυτό είναι αναγκαίο	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
E27	Σεισμοί	Ανακοίνωση σεισμού και πρώτη εκτίμηση επιπτώσεων	Επικοινωνία μεταξύ των φορέων για την αρχική εκτίμηση της κατάστασης	Αντιμετώπιση	Όλοι οι φορείς (Γενική Γραμματεία Πολιτικής Προστασίας, Αποκεντρωμένα όργανα, ΟΑΣΠ, ΕΛ.ΑΣ, ΠΣ)	-	-
E28	Σεισμοί	Κινητοποίηση	Λήψη μέτρων τροχαίας κίνησης για την διευκόλυνση της κίνησης των οχημάτων έκτακτης ανάγκης και για την διευκόλυνση της κίνησης των πολιτών προς ασφαλείς υπαίθριους χώρους (χώροι καταφυγής)	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
E29	Σεισμοί	Κινητοποίηση	Λήψη μέτρων τάξης και ασφάλειας περιμετρικά των χώρων επιχειρήσεων του Π.Σ., στους χώρους που έχουν καταφύγει οι πολίτες (χώροι καταφυγής), καθώς και όπου αλλού απαιτείται η επιπρόσθετη λήψη μέτρων ασφάλειας για την διευκόλυνση του έργου των σωστικών συνεργείων	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
E30	Σεισμοί	Κινητοποίηση	Συνδρομή στο έργο της μεταφοράς τραυματιών σε νοσηλευτικές μονάδες σε περιπτώσεις που δεν επαρκούν τα διαθέσιμα μέσα του ΕΚΑΒ και αν παραστεί ανάγκη, δύναται	Αντιμετώπιση	ΕΛ.ΑΣ	-	-
E31	Σεισμοί	Κινητοποίηση	Κινητοποίηση και κλιμάκωση των δράσεων αναλόγως της φύσης και της έκτασης των συμβάντων αρμοδιότητάς τους (αστική έρευνα και διάσωση, κατάσβεση πυρκαγιών, κτλ.)	Αντιμετώπιση	Π.Σ	-	-
E32	Σεισμοί	Κινητοποίηση	Kλιμάκωση της επιχειρησιακής δράσης βάσει των αναγκών για την υλοποίηση των δράσεων πολιτικής προστασίας,	Αντιμετώπιση	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας, ΕΚΑΒ	-	-
E33	Σεισμοί	Κινητοποίηση	Ενεργοποίηση της Ομάδα Διαχείρισης Κρίσεων (Ο.ΔΙ.Κ.) του ΕΚΑΒ	Αντιμετώπιση	-	-	-
E34	Σεισμοί	Κινητοποίηση	Γενικότερος συντονισμός των φορέων που έχουν την ευθύνη για την υλοποίηση δράσεων σχετικών με την αντιμετώπιση εκτάκτων καταστάσεων που αφορούν στην δημόσια υγεία (ετοιμότητα και λειτουργία των νοσηλευτικών μονάδων για την υποδοχή τραυματιών/ασθενών, κάλυψη αυξημένων αναγκών σε φαρμακευτικό υλικό, ψυχοκοινωνική υποστήριξη στις πληγείσες περιοχές από κλιμάκια του , επιδημιολογική επιτήρηση, έλεγχοι Δημόσιας Υγείας (Ύδατος, Υγιεινής χώρου φύλαξης τροφίμων) κλπ.)	Αντιμετώπιση	Εθνικό Κέντρο Επιχειρήσεων Υγείας (Ε.Κ.ΕΠ.Υ),	-	ΕΚΑΒ, ΕΚΚΑ, ΚΕΕΛΠΝΟ,
E35	Σεισμοί	Κινητοποίηση	Χαρακτηρισμός της καταστροφής και κήρυξη περιοχής σε κατάσταση έκτακτης ανάγκης αν αυτό απαιτείται	Αντιμετώπιση	Γενική Γραμματεία Πολιτικής Προστασίας	Γενικός Γραμματέας Πολιτικής Προστασίας	Αποκεντρωμένες Διοικήσεις, Περιφέρειες
E36	Σεισμοί	Κινητοποίηση	Έλεγχος υποδομών και τεχνικών έργων (δίκτυο ύδρευσης, οδικό δίκτυο, κλπ.) για τη διαπίστωση ζημιών και εκτίμηση του δυναμικού και των μέσων που απαιτούνται για την αποκατάστασή τους	Αντιμετώπιση	Δήμοι, Περιφέρειες	Τεχνικές Υπηρεσίες	-
E37	Σεισμοί	Κινητοποίηση	Υποστήριξη του έργου άλλων επιχειρησιακά εμπλεκομένων φορέων	Αντιμετώπιση	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Τεχνικές Υπηρεσίες	-
E38	Σεισμοί	Κινητοποίηση	Εκτίμηση του δυναμικού και των μέσων που απαιτούνται για την αποκατάσταση των ζημιών	Αντιμετώπιση	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Τεχνικές Υπηρεσίες	-
E39	Σεισμοί	Κινητοποίηση	Οπτικός έλεγχος των κρίσιμων, για τη λειτουργία του φορέα σε κατάσταση έκτακτης ανάγκης, κτιριακών εγκαταστάσεων (κτίρια, εργοτάξια, κλπ.) για τη διαπίστωση τυχόν βλαβών και εξέταση εναλλακτικών λύσεων.	Αντιμετώπιση	Αποκεντρωμένα Όργανα Πολιτικής Προστασίας	Τεχνικές Υπηρεσίες	-
E40	Σεισμοί	Κινητοποίηση	Αποκατάσταση των ζημιών σε υποδομές αρμοδιότητάς των φορέων που προκλήθηκαν από τον σεισμό στην περιοχή ευθύνης τους, όπως διάνοιξη αποκλεισμένων δρόμων από καταρρεύσεις, αποκατάσταση υποδομών	Αντιμετώπιση	Δήμοι, Περιφέρειες	Τεχνικές Υπηρεσίες	-
S1	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Εκτέλεση έργων και δράσεων για την αντιμετώπιση χιονοπτώσεων και παγετού ανά οδικό άξονα	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S2	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Λειτουργία σταθμών αποχιονισμού	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S3	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Αποτίμηση του έργου του αποχιονισμού κατά την προηγούμενη χειμερινή περίοδο με συστηματική καταγραφή των προβλημάτων που προέκυψαν	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S4	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Προγραμματισμός πόρων και ανθρώπινου δυναμικού	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S5	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Προμήθεια και αποθήκευση υλικών (πχ αλάτι, ψηφίδα, κτλ.) βάσει των προβλεπόμενων αναγκών	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S6	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Συντήρηση εξοπλισμού και μηχανημάτων	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S7	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Μίσθωση ιδιωτικών μέσων	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S8	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Ολοκλήρωση διαδικασιών πρόσληψης εποχιακού εργατοτεχνικού προσωπικού	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S9	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Προτεραιοποίηση των οδικών αξόνων ως προς την επέμβαση σε περιπτώσεις αδυναμίας συνολικής αντιμετώπισης προβλημάτων	Πρόληψη	Φορείς συντήρησης οδικού δικτύου	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων	-
S10	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Προγραμματισμός έργων και δράσεων χειμερινής συντήρησης για την αντιμετώπιση προβλημάτων από χιονοπτώσεις και παγετό στο οδικό δίκτυο	Πραγματοποίηση Συντονιστικού Πολιτικής Προστασίας	Πρόληψη, Ετοιμότητα	Περιφέρειες, Δήμοι	Δ/νση Πολιτικής Προστασίας των Περιφερειών, Τμήματα Πολιτικής Προστασίας Π.Ε., Γραφείο Πολιτικής Προστασίας Δήμων	-
S11	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Χαρτογραφική απεικόνιση σχεδίων αποχιονισμού του κύριου οδικού δικτύου της ηπειρωτικής χώρας	Καταγραφή των θέσεων αρχικής στάθμευσης των μηχανημάτων, των μέσων που διατίθενται αθροιστικά ανά θέση σε αρχικό στάδιο και ανά οδικό άξονα και των σημείων στάθμευσης των ς των περιπολικών του Π.Σ. κατά την αυξημένη ετοιμότητα	Πρόληψη	Γενική Γραμματεία Πολιτικής Προστασίας	Διεύθυνση Σχεδιασμού και Αντιμετώπισης Εκτάκτων Αναγκών	Συμβασιούχοι Παραχώρησης, Τεχνικές Υπηρεσίες Περιφερειών, Δήμων, Πυροσβεστικό Σώμα
S12	Έντονα καιρικά φαινόμενα, χιονοπτώσεις, παγετός	Ετοιμότητα φορέων για την αντιμετώπιση εκτάκτων αναγκών λόγω χιονοπτώσεων και παγετού	Διαβίβαση των έκτακτων δελτίων επιδείνωσης καιρού που εκδίδει η ΕΜΥ	Ετοιμότητα	Γενική Γραμματεία Πολιτικής Προστασίας	Κέντρο Επιχειρήσεων	-
